COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
Los Angeles,2022,1522,34914,0.9717477003942181,0.8298291721419185,41534,,3.617868675995694,,81.45748116254036,80.64693218514532,78.54144241119484,85.0075349838536,86.93649085037674,88.06027987082885
Madera,2022,24,484,1.0,1.0,272,,4.0,,75.0,85.0,79.0,82.0,87.0,90.0
Marin,2022,22,448,0.6363636363636364,1.0,288,,5.0,,90.0,89.0,83.0,92.0,95.0,94.0
Mendocino,2022,16,262,0.0,1.0,264,,4.0,,86.0,84.0,88.0,89.0,88.0,92.0
Merced,2022,48,1013,0.8333333333333334,1.0,968,,3.0,,78.33333333333333,79.0,82.66666666666667,82.66666666666667,83.33333333333333,84.33333333333333
Monterey,2022,58,1104,0.8620689655172413,0.8620689655172413,1344,,4.0,,86.33333333333333,82.33333333333333,83.66666666666667,86.66666666666667,89.33333333333333,89.66666666666667
Napa,2022,22,318,1.0,1.0,272,,4.0,,82.0,75.0,77.0,88.0,85.0,89.0
Nevada,2022,8,144,1.0,1.0,0,,,,,,,,,
Orange,2022,395,8411,0.9088607594936708,0.9493670886075949,9200,,4.02970297029703,,82.72277227722772,83.78217821782178,81.68316831683168,85.89108910891089,89.66336633663366,90.42574257425743
Placer,2022,54,859,1.0,1.0,0,,,,,,,,,
Riverside,2022,285,6328,0.9298245614035088,0.8491228070175438,6938,,3.9426751592356686,,78.67515923566879,81.47770700636943,81.40764331210191,83.78980891719745,88.04458598726114,89.38853503184713
Sacramento,2022,224,4688,0.7142857142857143,0.9642857142857143,5705,,4.0,,79.68148148148148,82.1037037037037,80.84444444444445,83.14814814814815,87.92592592592592,89.6962962962963
San Bernardino,2022,320,6209,0.88125,0.759375,6217,,3.7777777777777777,,77.50326797385621,82.49019607843137,79.33333333333333,81.66666666666667,87.84313725490196,88.80392156862744
San Diego,2022,296,6079,0.9527027027027027,0.8885135135135135,8776,,3.5,,83.04545454545455,79.86363636363636,79.9090909090909,85.9090909090909,86.72727272727273,87.45454545454545
San Francisco,2022,113,2017,0.6548672566371682,0.7876106194690266,1432,,3.75,,84.25,82.25,79.0,88.75,88.75,88.5
San Joaquin,2022,139,2416,0.7266187050359713,0.9424460431654677,2640,,4.25,,83.5,84.75,80.5,87.875,90.5,90.875
San Luis Obispo,2022,32,440,1.0,1.0,272,,5.0,,85.0,84.0,83.0,89.0,92.0,94.0
San Mateo,2022,119,2240,0.5462184873949579,1.0,2632,,3.8333333333333335,,83.5,82.83333333333333,84.0,88.0,88.16666666666667,89.66666666666667
Santa Barbara,2022,35,729,1.0,0.5428571428571428,2096,,3.5,,81.0,79.75,79.5,85.25,87.5,88.0
Santa Clara,2022,259,5251,0.46332046332046334,0.9536679536679536,5178,,3.934959349593496,,88.0650406504065,83.55284552845528,82.21138211382114,91.16260162601625,89.14634146341463,90.03252032520325
Santa Cruz,2022,27,423,0.4074074074074074,0.8888888888888888,976,,4.0,,89.0,85.0,85.0,92.5,90.5,90.5
Shasta,2022,16,416,0.5,1.0,640,,4.0,,78.0,82.5,81.5,81.5,87.5,91.5
